feature,importance,model,feature_set
Weather Condition_Cloudy,0.012819095514714718,XGBoost,operational
dow_sin,0.012811684980988503,XGBoost,operational
Product ID_P0020,0.012756059877574444,XGBoost,operational
Weather Condition_Snowy,0.012731681577861309,XGBoost,operational
Product ID_P0009,0.01272597722709179,XGBoost,operational
day_cos,0.012724032625555992,XGBoost,operational
Seasonality_Winter,0.012589124962687492,XGBoost,operational
day_sin,0.012497595511376858,XGBoost,operational
Competitor Pricing,0.012338983826339245,XGBoost,operational
lag_30_sales,0.012286202050745487,XGBoost,operational
weekofyear,0.012224065139889717,XGBoost,operational
Product ID_P0016,0.012214754708111286,XGBoost,operational
Region_West,0.011873184703290462,XGBoost,operational
dow_cos,0.011844353750348091,XGBoost,operational
Category_Clothing,0.011761174537241459,XGBoost,operational
Store ID_S002,0.011759269051253796,XGBoost,operational
Store ID_S003,0.011750300414860249,XGBoost,operational
discount_rate,0.011725555174052715,XGBoost,operational
Holiday/Promotion,0.011648994870483875,XGBoost,operational
Category_Toys,0.011514182202517986,XGBoost,operational
Product ID_P0005,0.011140490882098675,XGBoost,operational
Store ID_S004,0.011059376411139965,XGBoost,operational
Seasonality_Summer,0.010994940996170044,XGBoost,operational
Weather Condition_Sunny,0.01099330373108387,XGBoost,operational
day_of_week,0.010582231916487217,XGBoost,operational
Region_South,0.01056902389973402,XGBoost,operational
Seasonality_Spring,0.010534802451729774,XGBoost,operational
Product ID_P0018,0.009964941069483757,XGBoost,operational
Product ID_P0006,0.009850680828094482,XGBoost,operational
Price,0.009775448590517044,XGBoost,operational
month,0.009217648766934872,XGBoost,operational
Discount,0.009177167899906635,XGBoost,operational
Product ID_P0017,0.007056275848299265,XGBoost,operational
Demand Forecast,108.40911759515205,Linear Regression,vendor
Inventory Level,0.5305590483876003,Linear Regression,vendor
month_cos,0.4270195086963904,Linear Regression,vendor
Price,0.39769481472896473,Linear Regression,vendor
Competitor Pricing,0.396514529652805,Linear Regression,vendor
day_cos,0.3846357764795636,Linear Regression,vendor
Product ID_P0010,0.24262709730886212,Linear Regression,vendor
Product ID_P0019,0.23108635424337318,Linear Regression,vendor
Product ID_P0013,0.21452306718493094,Linear Regression,vendor
Product ID_P0018,0.20871788843751443,Linear Regression,vendor
Product ID_P0020,0.1708345490407767,Linear Regression,vendor
day_sin,0.156526592314993,Linear Regression,vendor
Product ID_P0016,0.12273238771477522,Linear Regression,vendor
Category_Groceries,0.12050232627336363,Linear Regression,vendor
Store ID_S005,0.11570553453307254,Linear Regression,vendor
month_sin,0.1099505812323649,Linear Regression,vendor
Region_East,0.10595797023226147,Linear Regression,vendor
